secuencia,indice,estados,salidas
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,2,3
sec_decodificacion,sec_dec_1,2,3
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,2,2
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,2,3
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,2,3
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,2,3
sec_decodificacion,sec_dec_1,2,3
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,2,4
sec_decodificacion,sec_dec_1,1,1
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,1
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,3
sec_decodificacion,sec_dec_1,1,3
sec_decodificacion,sec_dec_1,1,4
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,3
sec_decodificacion,sec_dec_1,1,4
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,4
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,1
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,1
sec_decodificacion,sec_dec_1,1,1
sec_decodificacion,sec_dec_1,1,1
sec_decodificacion,sec_dec_1,1,4
sec_decodificacion,sec_dec_1,1,3
sec_decodificacion,sec_dec_1,1,1
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,3
sec_decodificacion,sec_dec_1,1,4
sec_decodificacion,sec_dec_1,1,2
sec_decodificacion,sec_dec_1,1,1
